id,title,commemorating,date_of_incident,description,inscription,address,location_guide,map_grid_ref,previous_location,nature,physical_type,physical_materials,setting,access,post_unveiling,commissioned_by,artist(s),date_unveiled,comments,gps_x,gps_y
1214,Burns and Moley Memorial (Creggan),"IRA members Brendan Burns and Brendan Moley who were killed in a premature explosion.
 Person(s) commemorated",29 February 1988,Memorial stone set into a specially constructed wall with a small area of landscaping around it. Also a flagpole.,Single inscription,"Donaldson's Road, Creggan,  County Armagh, Northern Ireland. BT35 ???","At the junction of Donaldson's Road and Ballyfannahan Road, just off the Newry Road (B30) on the north side of Creggan village.",IH928168,,"Paramilitary, Republican, IRA","Memorial Stone,","Stone, Granite ?",Road,Public Unrestricted,The memorial was vanadalised in the early hours of Easter Tuesday moning in 2003.,Republican Movement,,1998 ??,The memorial appears to have been sited at the spot where the two men were killed.,54.091650931916384,-6.581802467909969
1215,Séamus Harvey Plaque ? - (nvtd),"IRA member Séamus Harvey.
 Person(s) commemorated",16 January 1977,,,"Flynn's junction ??, Drumuckavall ??, Crossmaglen,  County Armagh, Northern Ireland.",Flynn's junction outside Crossmaglen,IH912150,,"Paramilitary, Republican, IRA","Plaque, ?",,Road ?,,,,,Sunday 19 January 1997,++ NEED ADDITIONAL INFORMATION ++ Monument unveiled on the 20th anniversary of the death.,54.076577594568136,-6.607434353186456
1216,Hunger Strike Rosary Plaque (Cullyhanna),"Plaque marks the site where the Rosary was said in the village of Cullyhanna during the period of the 1981 Hunger Strike.
 Person(s) commemorated",05 May 1981,Large stone plaque with single inscription.,,"Skerriff Road, Cullyhanna,  County Armagh, Northern Ireland. BT35 ???","At the junction of Skerriff Road, Freeduff Road, and Slatequarry Road.",IH923210,,"Paramilitary, Republican, IRA, INLA",Plaque,Stone Marble,Street,Public Unrestricted,,,,8 July 2001,"One of two 'Rosary' plaques, the other being in Crossmaglen.",54.130178099215144,-6.588747402672781
1217,Darkley Plaque ?,"Three members of the Mountain Lodge Pentecostal Church who were killed in 1983.
 Person(s) commemorated",20 November 1983,,,"Mountain Lodge Penecostal Church, Mountain Lodge Road, Darkely,  County Armagh, Northern Ireland. BT60 ???",Approximately 1km along the Mountain Lodge Road from the junction with the Darkley Road (A29).,IH868308,,Civilian,Plaque,,"Building Interior, Church",Private Restricted (only viewable when Church is open),,"Mountain Lodge Penecostal Church, Darkley",,,++ NEED TO ARRANGE ACCESS ++ Church locked at time of visit so unable to photograph the plaque.,54.21923410582411,-6.6693266411903895
1218,Joseph Wilson Plaque ? - (nvtd),Person(s) commemorated,,,,"Knappagh Presbyterian Church, ROAD NAME ??, Drumsallen,  County Armagh, Northern Ireland.",,IH881480,,"British Security, British Army, UDR",Plaque,,"Building Interior, Church",,,Parishoners,,,,54.3730462115961,-6.645135956206565
1219,Stanley Hazelton Memorial Tablet,"Royal Ulster Constabulary Reserve (RUCR) member Stanley Hazelton.
 Person(s) commemorated",22 December 1979,Black marble tablet / plaque.,Single dedication,"Carland Presbyterian Church, Gortnaglush Road, Carland, Dungannon (near),  County Tyrone, Northern Ireland. BT71 ???",At the junction of Gortanglush Road and Annaginny Road; about 500 metres east fo the Cookstown Road (A29).,IH797664,,"British Security, British Police, RUCR","Plaque, Tablet",Stone Marble,"Building Interior, Church",Private Restricted (only viewable when Church is open),,Wife and son.,,1982,The Church was locked at the time of the first visit. Subsequently contact was made with the family who supplied a photograph of the plaque.,54.53968263913787,-6.769390648730404
122,Robin Alers-Hankey Plaque - (nvtd),"Robin Alers-Hankey who was shot by the IRA in Derry.
 Person(s) commemorated",30 January 1972,,,"Winchester College, Kingsgate Street, Winchester,  Hampshire, England.",,,,"British Security, British Army",Plaque,,Building Interior,,,,,2003,,,
1220,Patrick Toner Window ? - (nvtd),Person(s) commemorated,,,,"Church of St. Oliver Plunkett, STREET NAME ??, Forkhill,  County Armagh, Northern Ireland.",,IJ014158,,Civilian,"Other, Window, Stained-glass window",,"Building Interior, Church",,,Parishoners,,1997,,54.081080899443066,-6.451103914197341
1221,Stephen McKinney Plaque ? - (nvtd),Person(s) commemorated,,,,"St Aiden's Church, STREET NAME ??, Grange,  County Armagh, Northern Ireland.",,IH874503,,"British Security, British Army, UDR",Plaque,,"Building Interior, Church",,,Parishoners,,,,54.39381921088431,-6.654905236161233
1222,Francis Jordan Plaque (Church Hill),"IRA member Francis ('Fra') Jordan.
 Person(s) commemorated",04 June 1975,Rectangular stone plaque built into a wall.,Single inscription.,"Church Hill, Jonesborough,  County Armagh, Northern Ireland. BT35 ???","At the southern end of the village, at junction of Church Hill and Finegan's Road.",IJ066167,,"Paramilitary, Republican, IRA",Plaque,"Stone, Marble",Street,Public Unrestricted,,,,1995,,54.08869361762332,-6.371041294226647
1223,Trevor Foster Plaque ?,"Trevor Foster (17).
 Person(s) commemorated",08 November 1981,Plaque,Single inscription,"Lisnadill Church of Ireland, Newtownhamilton Road (B31), Lisnadill,  County Armagh, Northern Ireland. BT60  ???",At the junction of the Newtownhamilton Road (B31) and the Ballymorgan Road; approximately 4.5 Kilometres south of the centre of Armagh City.,IH885405,,Civilian,Plaque,Stone,"Building Interior, Church",Private Restricted (only viewable when Church is open),,,,,++ NEED TO ARRANGE ACCESS ++,54.30561959348552,-6.641191583433987
1224,Frederick Lutton Memorial Tablet ? - (nvtd),Person(s) commemorated,,,,"Diamond Orange Hall, STREET NAME ??, Loughall,  County Armagh, Northern Ireland.",,IH908522,,"Civilian, Loyal Order, Orange Order","Plaque, Tablet",,"Building Interior, Orange Hall",,,,,1981,++ NEED TO ARRANGE ACCESS ++,54.40985159337468,-6.603091370933155
1225,Security Forces Memorial (Loughgall),"Members of the security forces from the local district who were killed in the conflict.
 Person(s) commemorated",18 September 1971,Large stone plaque attached to a wall.,Inscription includes the names and dates of security force members killed.,"War Memorial, Main Street, Loughgall,  County Armagh, Northern Ireland. BT61 ???",Sited within the main War Memorial. Not far from the junction of Main Street and Orchard Road on the B77.,IH906520,,"British Security, British Army, UDR, British Police, RUC, RUCR, Prison Service, NIPS",Plaque,Stone Marble,Street,Public Unrestricted,,,,,,54.40830657349372,-6.606224219240336
1226,Kenneth Hill Plaque ? - (nvtd),Person(s) commemorated,28 August 1973,,,"Clovenden Presbyterian Church, STREET NAME ??, Loughgall,  County Armagh, Northern Ireland.",,IH945355,,"British Security, British Army, UDR",Plaque,,"Building Interior, Church",,,Officers NCOS and Men of Company D,,1976,++ NEED TO ARRANGE ACCESS ++,54.259468479763434,-6.551094310858966
1227,UDR Memorial (Church Place),"UDR members from the local area. The memorial specifically lists ten UDR soldiers.
 Person(s) commemorated",,Small obelisk stone on a low plinth.,Inscription with the names of the UDR soldiers killed in the conflict.,"War Memorial (beside), Church Place, Lurgan,  County Armagh, Northern Ireland. BT66 ???",The obelisk stone has been placed next to the steps at the front of the town's War Memorial.,IJ081585,,"British Security, British Army, UDR","Other, Obelisk",Stone Granite ??,Garden,Public Unrestricted,,,,,One of the names on the memorials is not included in Sutton's Index of Deahts.,54.46323798135698,-6.3339548247466375
1228,Alan McCloy Plaque ? - (nvtd),Person(s) commemorated,,,,"Lurgan Police Station STREET NAME ??, Lurgan,  County Armagh, Northern Ireland.",,IJ080588,,"British Security, British Police, RUC",Plaque,,Police Station,,,Lurgan RUC,,1984,,54.46574129848634,-6.334362069535247
1229,Sean Quinn Plaque ? - (nvtd),Person(s) commemorated,,,,"Lurgan Police Station STREET NAME ??, Lurgan,  County Armagh, Northern Ireland.",,IJ080588,,"British Security, British Police, RUC",Plaque,,Police Station,,,Lurgan RUC,,1983,,54.46574129848634,-6.334362069535247
123,The Airey Neave Trust,"The British MP Airey Neave who was killed by the INLA.
 Person(s) commemorated",30 March 1979,"From The Airey Neave Trust Web site: ""Since 1979 the Airey Neave Trust has encouraged and funded research on issues of tyranny and injustice.""  The Trust funds fellowships for academics wishing to conduct research in the field of human freedom.",,"PO Box 36800, 40 Bernard Street, London,  London, England. WC1N 1WJ",,,,"Civilian, Political Activist, Politician","Other, Trust fund",,"Other, n.a.",,,Airey Neave Trust (Family and associates),,,For more information see the Web site: http://www.aireyneavetrust.org.uk/,,
1230,John Forsythe Plaque ? - (nvtd),Person(s) commemorated,,,,"Lurgan Police Station STREET NAME ??, Lurgan,  County Armagh, Northern Ireland.",,IJ080588,,"British Security, British Police, RUC",Plaque,,Police Station,,,Lurgan RUC,,,,54.46574129848634,-6.334362069535247
1231,LVF Memorial Stone (Pollock Drive) ? (removed?),"LVF members.
 Person(s) commemorated",,,,"Pollock Drive, Lurgan,  County Armagh, Northern Ireland.",,IJ082572,,"Paramilitary, Loyalist, LVF",Memorial Stone,,Street,,,LVF,,,++ COULD NOT LOCATE ++,54.45218774894326,-6.332707686159326
1232,Harry Dickson Plaque,"UDR soldier Harry Dickson.
 Person(s) commemorated",22 February 1972,Metal plaque on stone tablet.,Single inscription.,"Methodist Church, Queen Street, Lurgan,  County Armagh, Northern Ireland. BT67 ???",On the right-hand side of the church near the front.  The church is at the junction of Queen Street and Malcolm Road.,IJ086581,,"British Security, British Army, UDR",Plaque,"Metal Brass, Stone Marble ??","Building Interior, Church",Private Restricted (limited viewing; viewable when church open),,"""Erected by his Comrades""",,,,54.459576427319526,-6.326454569124579
1233,Sam Marshall Plaque - (nvtd),"Samuel Marshall who was killed by members of the Ulster Volunteer Force (UVF).
 Person(s) commemorated",07 March 1990,A medium-sized retangular stone plaque attached to a gable wall.,Single inscription.,"Kilmaine Street, Lurgan,  County Armagh, Northern Ireland. BT67 9AL",On a gable wall close to the junction of Kilmaine Street and North Street.,IJ083590,,"Civilian, Civilian Political Activist",Plaque,Stone,Street,Public Unrestricted,,,,,No visit to date.,54.468095423901076,-6.331119780061377
1234,James McWhirther Memorial ?,Person(s) commemorated,,,,"STREET NAME ??, Markethill,  County Armagh, Northern Ireland.",,IH963340,,Civilian,"Plaque, ?",,Street ?,,,,,,++ NEED ADDITIONAL INFORMATION ++,54.298107263265514,-6.521934857580862
1235,Orange Order Memorial (Markethill),"Members of the Orange Order who were killed during the conflict.
 Person(s) commemorated",05 January 1976,Large obelisk on a plinth with ornamental metal railings.,"Two main inscriptions: on the main obelisk are the names, dates and Orange Lodge numbers of the people killed; on one of the plinths is a dedication.","The War Memorial, The Square, Main Street, Markethill,  County Armagh, Northern Ireland. BT60 ???","The memorial is sited next to the main War Memorial, which is on a roundabout in the centre of the village, at the junction of Main Street and Newry Street.",IH963397,,"Other, Loyal Order, Orange Order, British Security, British Police, RUC, British Army (BA), UDR, Civilian,","Other, Obelisk","Stone Granite, Metal Iron",Street,Public Unrestricted,,Markethill District L.O.L No.10,,,"This is one of only a few memorials sites (currently known), in a public space, which is dedicated to members of the Orange Order.",54.29674479762102,-6.5214614345400825
1236,William Burns Memorial ?,Person(s) commemorated,,,,"STREET NAME ??, Markethill,  County Armagh, Northern Ireland.",,IH963340,,"British Security, Prison Officer","Plaque, ?",,Street ?,,,Northern Ireland Prison Service,,,++ NEED ADDITIONAL INFORMATION ++,54.298107263265514,-6.521934857580862
1237,Memorial Plaque to Six RUC Officers ? - (nvtd),"A plaque commemorating six local RUC offiders killed (on different dates,) by the IRA was unveiled in the First Presbyterian Church, Portadown, in 1984. One RUC officer commemorated is Albert Craig who was killed on 18 September 1976.
 Person(s) commemorated",,,,"First Presbyterian Church, Bridge Street, Portadown  County Armagh, Northern Ireland.","Plaque is located within the First Presbyterian Church, Bridge Street, Portadown.",IJ015542,,"British Security, RUC",Plaque,,"Building Interior, Church","Private, restricted. Plaque is only viewable when the church is open.",,Parishoners,,1984,There has been no visit to date to view this memorial.,54.42601539012564,-6.437486783174345
1238,Wright and Fulton Mural (Edgarstown Estate) ? (removed?),"LVF members Billy Wright and Mark Fulton. Billy Wright (36), leader of Loyalist Volunteer Force. Wright was shot dead on 27 December 1997 while sitting in a prison van, inside the Maze prison, County Down.
 Person(s) commemorated",27 December 1997,,Ulster?s Bravehearts. Lead the Way | King Rat ~ Swinge | The LVF has not forgotten what true loyalists have fought and died for. No Surrender.,"STREET NAME ??, Edgarstown Estate, Portadown,  County Armagh, Northern Ireland.",,,,"Paramilitary, Loyalist, LVF",Mural,,Street,,,,,,,,
1239,Billy Wright Mural (Brownstown Road) (Removed),"There was a mural situated at this site which commemorated Billy Wright (36), leader of Loyalist Volunteer Force. Wright was shot dead on 27 December 1997 while sitting in a prison van, inside the Maze prison, County Down.
 Person(s) commemorated",27 December 1997,,,"Brownstown Road (B77), Portadown,  County Armagh, Northern Ireland.","Now painted over, but formerly on a gable wall of a house opposite Clounagh School on Brownstown Road.",IJ002533,,"Paramilitary, Loyalist, LVF",Mural,Paint,Street,(Now Removed),This mural was painted over with a non-political mural commemorating the Northern Ireland footballer George Best (1946-2005).,LVF,,2000,(Now Removed),54.418309269784345,-6.456544107128067
124,Ewart-Biggs Memorial Prize,"Christopher Ewart-Biggs
 Person(s) commemorated",21 July 1976,"The Christopher Ewart-Biggs Memorial Prize was created in 1977, in memory of Christopher Ewart-Biggs, British Ambassador to the Republic of Ireland, who was assassinated by the IRA in 1976. Its stated goal is to promote peace and reconciliation in Ireland, a greater understanding between the peoples of Britain and Ireland, or closer co-operation between partners of the European Community. It is awarded to a book, a play or a piece of journalism that best fulfills this aim, published during a two-year period up to December 31 of the year preceding the prize year. The value of the prize is £5000.",,", England.",,,,"Civilian, Political Activist","Other, Memorial Prize",,"Other, n.a.",,,,,1977,,,
